DedupKey,Ligand_ID,Ligand_Name,SMILES,UniProtID,QueryGene,NR_Family,Chemical_Family,PDB_ID,InChIKey
BYTNEISLBIENSA-MDZDMXLPSA-N,064,"3-[(E)-2-(2-chloro-4-{[3-(2,6-dichlorophenyl)-5-(1-methylethyl)isoxazol-4-yl]methoxy}phenyl)ethenyl]benzoic acid",CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(c(c3)Cl)C=Cc4cccc(c4)C(=O)O,P19793,RXRA,Non-steroid,Fatty acids,6A60,BYTNEISLBIENSA-MDZDMXLPSA-N
BYTNEISLBIENSA-MDZDMXLPSA-N,064,"3-[(E)-2-(2-chloro-4-{[3-(2,6-dichlorophenyl)-5-(1-methylethyl)isoxazol-4-yl]methoxy}phenyl)ethenyl]benzoic acid",CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(c(c3)Cl)C=Cc4cccc(c4)C(=O)O,Q96RI1,NR1H4,Non-steroid,Fatty acids,6A60,BYTNEISLBIENSA-MDZDMXLPSA-N
FPVIRRAMNBCEDK-KRWDZBQOSA-N,67S,{2-[(2R)-4-[4-(hydroxymethyl)-3-(methylsulfonyl)phenyl]-2-(propan-2-yl)piperazin-1-yl]-4-(trifluoromethyl)pyrimidin-5-yl}methanol,CC(C)C1CN(CCN1c2ncc(c(n2)C(F)(F)F)CO)c3ccc(c(c3)S(=O)(=O)C)CO,P28702,RXRB,Non-steroid,Retinoids,5I4V,FPVIRRAMNBCEDK-KRWDZBQOSA-N
FPVIRRAMNBCEDK-KRWDZBQOSA-N,67S,{2-[(2R)-4-[4-(hydroxymethyl)-3-(methylsulfonyl)phenyl]-2-(propan-2-yl)piperazin-1-yl]-4-(trifluoromethyl)pyrimidin-5-yl}methanol,CC(C)C1CN(CCN1c2ncc(c(n2)C(F)(F)F)CO)c3ccc(c(c3)S(=O)(=O)C)CO,P55055,NR1H2,Non-steroid,Fatty acids,5I4V,FPVIRRAMNBCEDK-KRWDZBQOSA-N
HDDKTNCZLILPNB-GOSISDBHSA-N,6Y8,"(6~{R})-5-(5-fluoranyl-2-methoxy-pyrimidin-4-yl)-2-(3-methylsulfonylphenyl)-6-propan-2-yl-4,6-dihydropyrrolo[3,4-c]pyrazole",CC(C)C1c2c(cn(n2)c3cccc(c3)S(=O)(=O)C)CN1c4c(cnc(n4)OC)F,P28702,RXRB,Non-steroid,Retinoids,5KYJ,HDDKTNCZLILPNB-GOSISDBHSA-N
HDDKTNCZLILPNB-GOSISDBHSA-N,6Y8,"(6~{R})-5-(5-fluoranyl-2-methoxy-pyrimidin-4-yl)-2-(3-methylsulfonylphenyl)-6-propan-2-yl-4,6-dihydropyrrolo[3,4-c]pyrazole",CC(C)C1c2c(cn(n2)c3cccc(c3)S(=O)(=O)C)CN1c4c(cnc(n4)OC)F,P55055,NR1H2,Non-steroid,Fatty acids,5KYJ,HDDKTNCZLILPNB-GOSISDBHSA-N
INASOKQDNHHMRE-UHFFFAOYSA-N,33Y,"1-methylethyl 3-[(3,4-difluorophenyl)carbonyl]-1,1-dimethyl-1,2,3,6-tetrahydroazepino[4,5-b]indole-5-carboxylate",CC(C)OC(=O)C1=CN(CC(c2c1[nH]c3c2cccc3)(C)C)C(=O)c4ccc(c(c4)F)F,P19793,RXRA,Non-steroid,Retinoids,5Z12,INASOKQDNHHMRE-UHFFFAOYSA-N
INASOKQDNHHMRE-UHFFFAOYSA-N,33Y,"1-methylethyl 3-[(3,4-difluorophenyl)carbonyl]-1,1-dimethyl-1,2,3,6-tetrahydroazepino[4,5-b]indole-5-carboxylate",CC(C)OC(=O)C1=CN(CC(c2c1[nH]c3c2cccc3)(C)C)C(=O)c4ccc(c(c4)F)F,Q96RI1,NR1H4,Non-steroid,Bile acids,5Z12,INASOKQDNHHMRE-UHFFFAOYSA-N
LRGRHLPTAIKGDV-JSCPRHNGSA-N,9R3,"2-[(1R,5S)-9-[[3-[2,6-bis(chloranyl)phenyl]-5-cyclopropyl-1,2-oxazol-4-yl]methoxy]-3-azabicyclo[3.3.1]nonan-3-yl]-1,3-benzothiazole-6-carboxylic acid",c1cc(c(c(c1)Cl)c2c(c(on2)C3CC3)COC4C5CCCC4CN(C5)c6nc7ccc(cc7s6)C(=O)O)Cl,P19793,RXRA,Non-steroid,Fatty acids,6A5Z,LRGRHLPTAIKGDV-JSCPRHNGSA-N
LRGRHLPTAIKGDV-JSCPRHNGSA-N,9R3,"2-[(1R,5S)-9-[[3-[2,6-bis(chloranyl)phenyl]-5-cyclopropyl-1,2-oxazol-4-yl]methoxy]-3-azabicyclo[3.3.1]nonan-3-yl]-1,3-benzothiazole-6-carboxylic acid",c1cc(c(c(c1)Cl)c2c(c(on2)C3CC3)COC4C5CCCC4CN(C5)c6nc7ccc(cc7s6)C(=O)O)Cl,Q96RI1,NR1H4,Non-steroid,Fatty acids,6A5Z,LRGRHLPTAIKGDV-JSCPRHNGSA-N
